profile_image_url_https,screen_name,name,full_text,note_tweet_text,tweeted_at,tweet_url
"https://pbs.twimg.com/profile_images/815624333926297600/oc0lCoJ7_normal.jpg","mdancho84","🔥 Matt Dancho (Business Science) 🔥","A Python Library for Time Series by Salesforce.

Let me introduce you to Merlion. https://t.co/ShjPtG3bXd","","2024-12-31T13:02:21.000Z","https://x.com/mdancho84/status/1874078641195290831"
"https://pbs.twimg.com/profile_images/1846245016169336835/CWyprUyt_normal.jpg","z7net_","n","これわたしが悪いの？ https://t.co/yDwMfZPUQ1","","2024-12-31T14:43:51.000Z","https://x.com/z7net_/status/1874104183101808832"
"https://pbs.twimg.com/profile_images/1599109943977775104/2_2ilfKp_normal.png","NetworkChuck","NetworkChuck","This is a list of the YouTube creators I love to follow. This list contains creators that I think are genuine, creative, and really fun to watch. And most importantly, they provide value.

💻 Top 10…11 YouTube Creators I Love to Follow 💻

@_JohnHammond  🔒🎥
• Content:","This is a list of the YouTube creators I love to follow. This list contains creators that I think are genuine, creative, and really fun to watch. And most importantly, they provide value.

💻 Top 10…11 YouTube Creators I Love to Follow 💻

@_JohnHammond  🔒🎥
• Content: Cybersecurity…also now destroying scammers…I think
• Insanely knowledgeable. Also, the nicest guy you’ll ever meet. He is authentically John Hammond on and off camera. He really does care and has a ton of integrity.
• Link: YouTube: https://t.co/TkTQHng1qr

@geerlingguy  🖥️🍓
• Content: Raspberry Pis and stuff. (lots of other nerdy stuff)
• Speaking of integrity, this guy sets the bar. Dives deeper into tech than I ever care to but keeps me glued to his videos. So talented and creative.
• Link: YouTube: https://t.co/xH2qCUpk1c

@Gerald_Auger 
• Content: Cybersecurity education, career advice, and industry insights.
• Consistent and genuine. Speaks from deep experience.
• Link: YouTube: https://t.co/CZmEM0KJDV

@Tyler_Ramsbey  🔑📘
• Content: Cybersecurity
• Up and coming, consistent. Is passionate about free education. Also, just an amazing dude.
• Link: YouTube: https://t.co/JQNDGijiuE

@TomLawrenceTech  🌐⚙️
• Content: Everything IT…loves PFsense, Unifi, and open source
• Has the best reviews on networking and security products. Great presence on camera, easy listening, and is genuinely a nice guy.
• Link: YouTube: https://t.co/ajTmJQxAqs

@TalkingSasquach  🦥📻
• Content: Mostly Flipper Zero
• One of the most fun vibes on YouTube. Humble and engaging. If you want to learn Flipper Zero…he’s the guy to watch.
• Link: YouTube: https://t.co/juVi9u2Nfa

@Cyb3rMaddy  👩‍💻📚
• Content: Cybersecurity (education, getting started)
• Up and coming, unique. She has a really fun, relaxed way of explaining topics. It’s an “watching over the shoulder” type experience. Watching her journey is really fun and I think will be relatable for a lot of people.
• Link: YouTube: https://t.co/C72tTr5eea

@ChristianLempa  🌊🐳
• Content: Networking, Docker, Kubernetes…lots of DevOps type stuff
• Not a lot of fluff, which after watching a lot of me is a breath of fresh air. He organizes his videos in a great way and explains topics well. His video style is 🔥.
• Link: YouTube: https://t.co/LSOvxwIQO3

@NahamSec  🐞🔍
• Content: Bug bounty
• OG, great dude. Best content on bug bounty…period.
• Link: YouTube: https://t.co/X9FWf5ncXe

@theGaryRuddell 
• Content: OSINT mostly
• Such a fun vibe. Love his storytelling. Puts effort into the aesthetics of his videos and it shows.
• Link: YouTube: https://t.co/sc9j4R5pte

Also, even though she isn’t on YouTube, I wanted to include @digitalbyte_  🌟📡
• Amazing networking content, fun vibe. Very creative.
• Links:
• LinkedIn: https://t.co/QwiCRGtNvo
• Instagram: https://t.co/Ja7bnAwnCK","2024-12-31T18:34:42.000Z","https://x.com/NetworkChuck/status/1874162279819718967"
"https://pbs.twimg.com/profile_images/1873276016187326464/f7fhVqiV_normal.jpg","paya_paya_kun","ぱやぱやくん","人間は鬱状態になると「未来に期待する気持ち」がなくなります。すべての行動が「面倒くさい」という気持ちに支配され、いつもお金の心配をするようになります。カフェも旅行も「行くのが疲れるし、いまは節約したい」と考えて、家にずっといます。温泉旅行を行く気力はありません。","","2024-12-31T09:53:40.000Z","https://x.com/paya_paya_kun/status/1874031157698060634"
"https://pbs.twimg.com/profile_images/1855204667216510976/v5LNVkYo_normal.jpg","5mukx","Smukx.E","Windows Internals and Programming resources: 
It covers: [Programming, Red Teaming, Exploit, Kernel, Certificates]

Source code of ReactOS: https://t.co/nUPWDZXM5B

Windows undocumented docs1: https://t.co/0KHgKavxzJ

Windows undocumented docs2:https://t.co/nfww8CjbG0

Windows https://t.co/47wo9q1tCP","Windows Internals and Programming resources: 
It covers: [Programming, Red Teaming, Exploit, Kernel, Certificates]

Source code of ReactOS: https://t.co/tqc4XDVj1d

Windows undocumented docs1: https://t.co/ZqxBdtWy87

Windows undocumented docs2:https://t.co/sgluUXDYvp

Windows Internals Book Tools: https://t.co/uZcqxQ6qRS

Rust for C Developers: https://t.co/eDeuEMzAQh

Finding the Base of the Windows Kernel: https://t.co/GdVhG3Jjck

Win32 with code examples: https://t.co/3t4q82N6i9

Windows kernel data structures: https://t.co/Z3JEJ6NpnP

Notes for Windows API programming: https://t.co/6Zar9yp7qm

Windows kernels with more than 60000
undocumented structures: https://t.co/KkLKCTdH57

Understanding EProcess Structure: https://t.co/M5CaJOFFaX

Windows Blogging sites (Must Check): 
- https://t.co/9hDAUKDqCm
- https://t.co/P4aMWMFP8x
- https://t.co/Ydcnnq1BGh","2024-12-31T15:32:55.000Z","https://x.com/5mukx/status/1874116534043648226"
"https://pbs.twimg.com/profile_images/1432295476536119296/F6wDTnvZ_normal.jpg","windymelt","Windymelt💀(めるくん)🚀❤️‍🔥","絶対バカにしたりしないので、Scalaの難しいところ、教えてほしすぎる(ガチ初心者向けコンテンツの参考にしたいので)","","2024-12-31T08:28:26.000Z","https://x.com/windymelt/status/1874009706999799867"
"https://pbs.twimg.com/profile_images/1833077261769355264/nyuqbHpH_normal.jpg","merumeru99","めるめる","年末のラーメン豚山騒動、発端の女性が信用ならないのは言うまでもないですが、それなりに知名度ある芸能人が事実関係を全く確認せずその女性に肩入れして「完全に被害者に軍配🏳️」とお店側を叩き始めたのは、冗談抜きで『結構ヤバい業務妨害』なんじゃなかろうか。ラーメン豚山の経営は上場企業だよ？","","2024-12-31T16:17:58.000Z","https://x.com/merumeru99/status/1874127871519928410"
"https://pbs.twimg.com/profile_images/1857162675727351808/EPB2MZMS_normal.jpg","Cyb3rMaddy","Maddy 🐝","RAT Analysis in Wireshark ! 🐀🦈 https://t.co/xY3CDispn3","","2024-12-31T16:13:57.000Z","https://x.com/Cyb3rMaddy/status/1874126858050273507"
"https://pbs.twimg.com/profile_images/1242760194142035972/xZ0d1zzl_normal.jpg","cicada3301_kig","すきえんてぃあ@書け","❌「AIが人間より質的量的に賢くなったら人間には理解しきれなくなる」

⭕️「この世界はもともと人間には理解しきれない構造になっていて、AIはそこを扱えるようになる」

みたいな世界観を持っていたほうが良さそうな気がする","","2024-12-31T17:31:22.000Z","https://x.com/cicada3301_kig/status/1874146341628371065"
"https://pbs.twimg.com/profile_images/1833077261769355264/nyuqbHpH_normal.jpg","merumeru99","めるめる","『鮨よし田』騒動で「和解ではないですよ。むこうが勝手に和解と言っているだけなので」と大将が明らかにしたことで、最初から最後まで何もかも女の嘘だったと分かったのが3, 4日前の出来事なのに、今度は『ラーメン豚山』への業務妨害ポストにいいねした7.8万人はマジで脳みそ腐ってんじゃねーのか。","","2024-12-31T21:01:00.000Z","https://x.com/merumeru99/status/1874199097709912122"
